縣市代碼,縣市名稱,鄉鎮市區,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
01,新北市,中和區,014554,市立自強國中,9,10,9,110,96,130,118,115,118,111,107,24,49,0,8
01,新北市,土城區,014555,市立中正國中,18,21,22,229,217,288,214,267,269,264,247,40,105,1,10
01,新北市,泰山區,014558,市立義學國中,15,14,16,207,187,194,167,234,210,259,198,36,75,2,9
01,新北市,新莊區,014559,市立中平國中,22,23,21,372,304,385,334,351,300,348,323,39,119,2,9
01,新北市,鶯歌區,014560,市立鳳鳴國中,5,6,6,59,53,54,60,70,60,76,69,17,27,2,6
01,新北市,三重區,014561,市立三和國中,25,24,29,351,320,326,327,399,369,367,384,45,135,2,12
01,新北市,鶯歌區,014565,市立尖山國中,6,5,5,76,47,62,38,72,49,61,57,13,28,0,6
01,新北市,淡水區,014566,市立正德國中,19,19,21,250,254,249,268,256,269,290,241,40,101,2,11
01,新北市,三峽區,014567,市立安溪國中,8,9,9,97,74,118,93,112,90,104,107,24,48,4,5
01,新北市,樹林區,014569,市立育林國中,9,10,11,102,109,118,117,150,131,122,114,30,45,3,6
01,新北市,汐止區,014570,市立青山國中(小),6,6,6,63,78,75,75,89,71,86,73,10,36,2,7
01,新北市,林口區,014571,市立崇林國中,15,15,15,217,203,208,190,213,212,205,190,28,83,1,9
01,新北市,三重區,014572,市立二重國中,8,7,7,91,70,81,70,101,69,109,76,20,39,1,8
01,新北市,板橋區,014573,市立大觀國中,11,12,13,126,139,130,159,173,152,146,145,20,68,0,7
01,新北市,樹林區,014574,市立三多國中,9,11,11,118,86,139,133,158,127,159,139,28,49,4,5
01,新北市,板橋區,014575,市立忠孝國中,8,11,10,101,78,137,90,119,129,124,113,23,51,1,8
01,新北市,蘆洲區,014576,市立鷺江國中,19,20,22,258,261,273,262,291,299,270,302,34,117,1,9
01,新北市,樹林區,014577,市立桃子腳國中(小),7,7,7,105,110,115,85,117,90,113,98,12,41,0,10
01,新北市,林口區,014579,市立佳林國中,10,10,9,125,110,152,123,142,109,127,107,26,46,2,6
01,新北市,新店區,014580,市立達觀國中(小),9,10,10,120,106,135,102,130,112,146,118,23,46,4,6
02,宜蘭縣,員山鄉,021301,私立慧燈高中附設國中部,7,7,8,181,123,178,97,193,105,198,120,0,0,0,0
02,宜蘭縣,壯圍鄉,021310,私立中道高中附設國中部,3,3,3,53,38,65,35,50,35,41,34,0,0,0,0
02,宜蘭縣,南澳鄉,024322,縣立南澳高中附設國中部,3,3,3,21,22,26,14,22,28,25,23,0,0,0,0
02,宜蘭縣,冬山鄉,024325,縣立慈心華德福教育實驗高中附設國中,4,4,4,38,52,46,54,47,36,38,35,0,0,0,0
02,宜蘭縣,宜蘭市,024501,縣立宜蘭國中,8,7,5,88,78,79,92,64,76,69,75,16,36,1,7
02,宜蘭縣,宜蘭市,024502,縣立中華國中,12,13,11,143,135,181,150,148,146,179,154,26,62,2,6
02,宜蘭縣,宜蘭市,024503,縣立復興國中,16,17,15,194,222,241,207,199,215,183,189,42,85,4,8
02,宜蘭縣,羅東鎮,024504,縣立羅東國中,19,21,18,225,230,253,280,254,242,258,255,50,96,1,12
02,宜蘭縣,羅東鎮,024505,縣立東光國中,7,7,7,87,75,90,85,94,96,94,96,22,35,1,6
